Epoch,Train_OA,Train_mIoU,Train_Loss,Valid_OA,Valid_mIoU,Valid_Loss,Test_OA,Test_mIoU,Test_Loss
0,50.05782571609275,27.331019249232398,0.4080531418323517,10.48265065859089,5.241325329295445,0.6181636452674866,5.7402,2.8701,0.6612062752246857
1,51.21693563768715,27.984879358602043,0.401880156993866,10.482471310750878,5.241235655375439,0.5332515835762024,0,0,0
2,52.87538690016563,29.745933168387662,0.37237354516983034,10.489798951071347,5.244899475535673,0.5462886095046997,5.7528,2.8764000000000003,0.7873935699462891
3,51.68297933758788,28.893366169160007,0.3734773814678192,10.481958888350846,5.240979444175423,0.5733063817024231,0,0,0
4,52.838911532852315,29.178124615982025,0.3974906444549561,10.474323794590356,5.237161897295178,0.5484462380409241,0,0,0
5,48.486912595746986,27.215553938998383,0.35923627614974973,10.47955050307069,5.239775251535345,0.5268309712409973,0,0,0
6,48.75744394377753,27.31303769174471,0.3555241942405701,10.477372707870552,5.238686353935276,0.5124256014823914,0,0,0
7,47.32983669294569,26.55847611354633,0.3758698642253876,10.604043525158659,5.314309311875476,0.48945939540863037,5.972871428571429,2.999583543242764,0.6425085663795471
8,46.46341317256595,26.00114715854159,0.37042165398597715,36.50689336233644,21.27974386019698,0.5195956230163574,73.23838571428571,40.18795793208431,0.6683700084686279
9,52.636708149464084,29.80320373296029,0.3365048110485077,76.58408979690138,45.97646464331973,0.6979820132255554,83.29087142857144,46.02296191188585,0.7258985340595245
10,44.20730966087017,24.77697279311534,0.38167269229888917,86.38619226600872,51.224381265825926,0.8522536754608154,77.44848571428571,42.56782002941154,0.751206636428833
11,45.44551346475925,25.63245133977194,0.35286943316459657,85.95970310246142,51.07114677755583,0.7609143257141113,0,0,0
12,45.20576634055022,25.46004255814835,0.3598392248153687,65.61671316899947,40.340948178781424,0.6097637414932251,0,0,0
13,46.424896937911406,25.909716716252678,0.351750510931015,66.45134677417289,40.98635203093953,0.6136782765388489,0,0,0
14,50.50863139641554,28.501520651849336,0.36315007209777833,33.32856780501303,19.331339433370776,0.49511852860450745,0,0,0
15,54.076786606431405,30.63888860741889,0.3712113320827484,67.09118300397384,39.054286055336696,0.6701477766036987,0,0,0
16,43.68773086027695,24.408833218754893,0.37826153039932253,85.63403304612058,45.654194629974185,1.3549940586090088,0,0,0
17,42.00228946963816,23.17443580641867,0.3690995991230011,72.78545130321827,41.44353874891427,1.008063793182373,0,0,0
18,51.669734245514285,29.219083160365393,0.35030301213264464,45.38781408290482,26.931478423031262,0.583203136920929,0,0,0
19,57.902139041278595,32.81043453602208,0.34554696679115293,50.7062461728452,30.387602011880745,0.5539899468421936,0,0,0
20,54.68772503901104,30.69831834089057,0.387400484085083,71.23711577927918,41.9698797856663,0.7076437473297119,0,0,0
21,57.40861211775257,32.67432743506329,0.3403861582279205,73.77839780888182,42.1134765673133,1.08311927318573,0,0,0
22,56.191467599347604,31.764435400806303,0.34572371244430544,82.55716712400366,45.52604168908185,1.4606562852859497,0,0,0
23,49.792300656741524,27.928018808036143,0.35798988342285154,78.63354880695255,44.433188917889794,1.0633116960525513,0,0,0
24,54.60724090144699,31.230599800416385,0.3330653965473175,76.27046166696131,43.13037599119148,0.8762570023536682,0,0,0
25,50.93977489507168,28.874390445745945,0.34487478733062743,75.89447173093724,43.07803499765397,0.8642993569374084,0,0,0
26,52.84352745428851,29.97712958407486,0.3405438959598541,75.72575665572644,43.371484688998216,0.793631911277771,0,0,0
27,53.21748557610158,30.27712804661542,0.33335363268852236,76.56753855338032,46.09628099869394,0.7453135251998901,0,0,0
28,48.985706052781076,27.7518908379577,0.34835591316223147,77.28664652846635,46.645524868680674,0.7383967638015747,0,0,0
29,55.47267138234862,31.619794473579876,0.3347302496433258,77.3141379902281,44.44438345288278,0.7946789264678955,0,0,0
30,54.08927150966313,30.133781323266245,0.3752971112728119,73.83973477016575,42.37552286983987,0.831884503364563,0,0,0
31,57.04909758393495,32.68989512616814,0.32195348739624025,68.51433373558491,37.22985620505273,0.9346208572387695,0,0,0
