epoch,train_loss,train_acc,valid_loss,valid_acc
97,0.3017673873901367,90.0,0.5030517989397049,77.0
98,0.3584760594367981,84.0,0.5474542665481568,73.0
99,0.27656527996063235,89.0,0.586743136048317,71.0
100,0.241692191362381,91.0,0.5707020449638367,70.5
101,0.46047922372817995,80.0,0.5956751126050949,67.5
102,0.3051669478416443,86.0,0.5909880304336548,67.5
103,0.4598558592796326,82.0,0.5862634998559951,68.5
104,0.2944901371002197,92.0,0.5898064333200455,68.5
105,0.34402663707733155,87.0,0.56702317237854,70.0
106,0.300221836566925,88.0,0.6039748764038086,68.0
107,0.21142865240573883,92.0,0.5441084575653076,69.5
108,0.36433961033821105,86.0,0.5788019555807113,70.0
109,0.4865085577964783,80.0,0.5645625007152557,70.5
110,0.2944524836540222,87.0,0.4908923423290253,75.5
111,0.29642375946044924,88.0,0.5063701927661896,75.0
112,0.4174840342998505,85.0,0.5075868171453476,76.0
113,0.31457427263259885,82.0,0.5616600292921067,72.0
114,0.43133583545684817,81.0,0.5526121920347213,72.5
115,0.4197190070152283,80.0,0.5258590680360794,71.5
116,0.46241556644439696,84.0,0.4882253968715668,77.5
117,0.25845537066459656,88.0,0.5164495027065277,72.5
118,0.3528182315826416,87.0,0.5454276919364929,69.5
119,0.32568989515304564,85.0,0.5753161913156509,69.0
120,0.42646777153015136,82.0,0.5568972480297089,69.5
121,0.30578618228435517,86.0,0.5349029266834259,69.0
122,0.35465749256312845,86.0,0.5359616416692734,73.0
123,0.4035195326805115,85.0,0.5104169231653214,73.5
124,0.281802191734314,83.0,0.5110142403841018,74.5
125,0.36442351937294004,83.0,0.5255850821733474,72.0
126,0.2961799669265747,90.0,0.4952292507886887,75.0
127,0.22400810182094574,91.0,0.5058571892976761,74.0
128,0.37374923229217527,88.0,0.5011250621080399,75.5
129,0.39148696660995486,79.0,0.5205770379304886,72.5
130,0.2663519641757011,89.0,0.509906485080719,74.5
131,0.38377663254737854,84.0,0.5197351795434951,75.0
132,0.4898849427700043,83.0,0.49070624351501463,76.5
133,0.2838642537593842,84.0,0.5392510956525802,72.0
134,0.3052792382240295,89.0,0.5485988408327103,70.5
135,0.2575129556655884,88.0,0.5619301664829254,70.0
136,0.27289717078208925,86.0,0.5422791486978531,71.0
137,0.3912315493822098,86.0,0.525999846458435,71.0
138,0.2810130608081818,90.0,0.5344786059856415,73.5
139,0.4466899788379669,81.0,0.5403311276435852,72.0
140,0.3543706488609314,90.0,0.5482263958454132,72.5
141,0.3180221962928772,87.0,0.5226340395212173,74.0
142,0.3526361083984375,86.0,0.5537355327606202,72.0
143,0.2614658319950104,89.0,0.5462096977233887,69.5
144,0.4599070084095001,86.0,0.5547241395711899,72.0
145,0.4554295563697815,79.0,0.5139776366949081,78.0
146,0.21392892718315124,91.0,0.5494358932971954,72.5
147,0.26680609822273255,92.0,0.5419321882724762,71.0
148,0.24155709266662598,90.0,0.5214166098833084,72.5
149,0.2871836632490158,90.0,0.48007342755794524,76.0
150,0.3379145073890686,86.0,0.5341243034601212,72.5
151,0.49431563436985015,82.0,0.49397799909114837,74.0
152,0.2610358500480652,85.0,0.5076416563987732,77.0
153,0.2605807268619537,90.0,0.5287321972846984,73.0
154,0.28736178040504456,90.0,0.5278229463100433,72.0
155,0.2582919190824032,89.0,0.5129153424501419,74.0
156,0.45955434560775754,82.0,0.5678828430175781,74.0
157,0.2738006371259689,88.0,0.5274907243251801,73.5
158,0.2557772958278656,92.0,0.5495288228988647,72.5
159,0.33894551753997804,88.0,0.49569610238075257,77.5
160,0.30144226670265195,87.0,0.5091282212734223,74.5
161,0.3099201536178589,87.0,0.5204293662309647,73.0
162,0.34246824026107786,84.0,0.511088073849678,73.0
163,0.3281786036491394,86.0,0.5308156216144562,72.0
164,0.36589107871055604,82.0,0.5267094296216964,73.0
165,0.35385277748107913,87.0,0.5346635764837265,70.5
166,0.32070092916488646,89.0,0.5519415706396102,71.5
167,0.46599761962890623,84.0,0.521433824300766,73.0
168,0.35674243211746215,87.0,0.5081270241737366,75.5
169,0.3713704609870911,84.0,0.5640771633386612,70.5
170,0.27437389731407164,91.0,0.5087480771541596,74.0
171,0.19895459413528443,93.0,0.5067527794837952,73.5
172,0.30369574785232545,92.0,0.4767307704687119,78.5
173,0.24678365230560304,87.0,0.4994077676534653,73.5
174,0.2932857072353363,87.0,0.4800689423084259,78.0
175,0.39722381591796874,85.0,0.5127125722169876,73.5
176,0.2978351974487305,86.0,0.49467288434505463,77.0
177,0.3862307953834534,85.0,0.5291733694076538,74.5
178,0.30592304825782773,89.0,0.4955129426717758,77.0
179,0.27404141426086426,90.0,0.4732624536752701,77.0
180,0.44216098248958585,86.0,0.4936904668807983,74.5
181,0.43702068030834196,89.0,0.5144180649518967,73.0
182,0.2751119875907898,86.0,0.5249578070640564,72.0
