epoch,train_loss,train_acc,valid_loss,valid_acc
50,0.177659259557724,93.5,0.25665884375572207,92.0
51,0.23656882725656034,90.6,0.3534450972080231,85.5
52,0.2146416886150837,90.9,0.6455919218063354,77.0
53,0.2260211308002472,90.8,0.3019378316402435,87.5
54,0.18625944417715073,92.0,0.22256337940692902,89.5
55,0.20176870876550673,92.4,0.3028326272964478,84.5
56,0.2044566309452057,92.5,0.30037673652172087,88.5
57,0.1687616931796074,92.7,0.3541616004705429,85.5
58,0.17329981192946434,93.2,0.4673765158653259,81.0
59,0.19829965245723724,92.2,0.35833490669727325,85.0
60,0.21596655088663103,92.0,0.33271861135959624,86.0
61,0.18940007615089416,92.5,0.38860151171684265,85.0
62,0.1810027355849743,92.7,0.32777836084365847,88.0
63,0.15879563447833062,94.0,0.24697059750556946,89.0
64,0.16256108033657074,93.7,0.35191077619791034,85.0
65,0.17521569204330445,93.4,0.36148366034030915,84.0
66,0.14915365195274352,93.5,0.4181009119749069,82.5
67,0.15442036288976668,94.2,0.30564324498176576,88.5
68,0.15854213601350783,93.3,0.34481580555438995,87.0
69,0.16344253677129744,92.9,0.33026354491710663,87.0
70,0.14148009249567986,94.0,0.3408898168802261,87.5
71,0.1482420892417431,94.0,0.3753065264225006,86.0
72,0.22864587128162384,91.5,0.3765552806854248,85.0
73,0.15834129796922206,94.4,0.3067969799041748,84.0
74,0.13634140315651894,94.8,0.4660101330280304,84.5
75,0.14015379831194877,94.7,0.325721737742424,86.5
76,0.19130562484264374,92.2,0.4159271538257599,85.5
77,0.15549542289972304,94.1,0.46214421272277834,82.0
78,0.16031012135744094,93.0,0.4267505210638046,85.5
79,0.1375756461918354,94.5,0.4849181437492371,86.0
80,0.16357325828075409,93.3,0.4136400830745697,86.5
81,0.15059609681367875,94.6,0.35254493772983553,86.0
82,0.15498715153336526,93.9,0.432505264878273,85.5
83,0.17539834055304526,93.3,0.3690029102563858,87.0
84,0.1406371262073517,95.6,0.46917601466178893,80.0
85,0.17512427014112472,93.7,0.3636341977119446,86.0
86,0.13665006099641322,95.7,0.3916776752471924,83.0
87,0.13067116785049437,94.4,0.38932963967323303,85.5
88,0.13609091632068157,95.1,0.33700667560100556,87.5
89,0.13024944391846657,95.5,0.41580055832862856,84.0
90,0.12922553470730783,95.0,0.3424440848827362,87.0
91,0.14759491205215455,95.1,0.4285448372364044,83.0
92,0.1753840969800949,93.8,0.4065782856941223,86.0
93,0.12253624660521746,95.5,0.380354220867157,84.5
94,0.11039227993786335,95.1,0.39053653478622435,84.0
95,0.134767049908638,94.7,0.40987213015556334,85.0
96,0.19954347401857375,93.5,0.48690351724624636,84.0
97,0.15217726284265518,93.2,0.41728823602199555,82.5
98,0.16593123579770327,93.0,0.49163238644599916,83.0
99,0.1475999666005373,94.4,0.43790786385536196,84.0
100,0.12242604774236679,94.9,0.4660003066062927,83.5
101,0.1510849864333868,94.5,0.4071361142396927,87.0
102,0.1340973752439022,94.3,0.31254460096359254,87.0
103,0.10911671870946885,95.6,0.5032806634902954,82.5
104,0.13158318811655045,94.9,0.4335749584436417,86.0
105,0.11807607489824296,95.3,0.3955162250995636,86.5
106,0.14482882551848889,95.3,0.5134235072135925,83.5
107,0.11354371452331544,95.4,0.3130869859457016,86.0
108,0.14429295763373376,94.6,0.444793244600296,83.5
109,0.14475044736266135,94.2,0.45224933624267577,82.0
110,0.11954403612017632,96.2,0.39127273797988893,85.5
111,0.1306852359175682,95.0,0.40733458966016767,85.0
112,0.12180227573215961,95.2,0.4349670934677124,85.5
113,0.1290527361780405,95.0,0.4478972589969635,82.5
114,0.12389308255910873,96.0,0.48727514982223513,84.0
115,0.13631639824807643,95.5,0.37566007673740387,85.0
116,0.10812723480910062,95.4,0.45805966675281523,86.5
117,0.1230648578107357,95.1,0.4203287100791931,83.5
118,0.1293182861804962,95.2,0.533411055803299,85.5
119,0.1422366350889206,94.9,0.4268057209253311,86.0
120,0.13059177410602568,94.8,0.5051292926073074,85.0
