equipamento,flange_id,n_pontos,centroid_x,centroid_y,centroid_z,extensao_x,extensao_y,extensao_z
equipamento11,37,1178,4269855.9607,6656195.1566,1488.3383,243.7461,152.797,159.082
equipamento11,38,1611,4269677.3524,6656218.3111,1496.7381,88.1541,97.748,90.751
equipamento11,39,3186,4269626.6926,6656210.0188,1381.3553,89.8169,144.396,202.2529
equipamento11,40,5875,4270477.9684,6653711.4804,1710.9501,297.1118,173.8,273.0156
equipamento11,41,8550,4267672.7141,6657492.4948,1460.8814,187.613,219.4869,240.4697
equipamento12,0,26937,851.9187,1253.6782,44.5519,0.642,0.396,0.642
equipamento12,1,3176,850.826,1248.4161,51.3778,0.187,0.183,0.2
equipamento12,2,29049,853.2644,1247.2985,51.1785,0.314,0.641,0.638
equipamento12,3,1321,854.5594,1252.4974,43.3172,0.112,0.114,0.091
equipamento12,4,965,854.5582,1252.4924,43.1838,0.111,0.14,0.075
equipamento12,5,1941,854.2489,1251.308,41.158,0.118,0.197,0.2
equipamento12,6,2682,852.4183,1250.9137,50.1018,0.212,0.153,0.154
equipamento12,7,27811,851.8915,1248.5763,44.5711,0.64,0.328,0.639
equipamento12,8,1838,854.2311,1252.5364,41.1602,0.115,0.196,0.194
equipamento12,9,2700,854.4484,1252.5439,41.1636,0.113,0.1959,0.194
equipamento12,10,2150,854.5537,1252.5044,41.5708,0.16,0.1591,0.116
equipamento12,11,3053,854.4871,1251.3472,41.157,0.1,0.196,0.187
equipamento12,12,2442,853.0615,1252.9194,50.2612,0.134,0.1581,0.175
equipamento12,13,937,851.6844,1252.4179,52.832,0.197,0.428,0.151
equipamento12,14,3257,854.5855,1251.3143,41.3825,0.161,0.1571,0.122
equipamento12,15,4061,854.5797,1251.308,41.5795,0.161,0.162,0.131
equipamento12,16,2217,853.0145,1253.5267,51.1645,0.114,0.121,0.086
equipamento12,17,1497,852.2233,1250.2196,44.6253,0.222,0.25,0.401
equipamento12,18,29818,851.8146,1250.1401,44.5016,0.583,0.3781,0.642
equipamento12,19,3520,854.1838,1249.0004,40.8509,0.173,0.1941,0.197
equipamento12,20,2981,853.7961,1248.8554,42.3549,0.159,0.1339,0.149
equipamento12,21,3181,853.0358,1248.2775,43.1288,0.261,0.172,0.244
equipamento12,22,2625,852.9977,1253.5348,51.4552,0.121,0.12,0.077
equipamento12,23,2918,853.0852,1249.7259,49.2521,0.238,0.25,0.157
equipamento12,24,3860,853.0764,1249.7201,49.4876,0.244,0.2379,0.147
equipamento12,25,3930,852.7526,1250.102,49.9926,0.158,0.158,0.12
equipamento12,26,4097,853.5345,1250.8495,46.5007,0.189,0.234,0.237
equipamento12,27,4788,853.1566,1250.8616,46.5125,0.3,0.2369,0.234
equipamento12,28,4435,853.782,1248.9924,41.2762,0.2339,0.233,0.145
equipamento12,29,5852,853.4715,1247.1726,43.1272,0.158,0.2019,0.192
equipamento12,30,1318,852.8031,1253.322,51.3157,0.121,0.1211,0.113
equipamento12,31,2257,852.896,1253.4229,51.3205,0.113,0.114,0.115
equipamento12,32,2439,852.9894,1250.8502,47.253,0.284,0.196,0.206
equipamento12,33,2856,852.9058,1251.5652,47.1665,0.2,0.1691,0.196
equipamento12,34,7628,852.2216,1250.5355,46.9654,0.285,0.296,0.352
equipamento12,35,545,852.8156,1248.1831,43.1379,0.099,0.121,0.162
equipamento12,36,1476,852.9337,1248.0863,43.1195,0.085,0.1051,0.173
equipamento12,37,833,853.614,1247.7252,42.5649,0.117,0.141,0.117
equipamento12,38,1152,853.6289,1247.8717,42.5759,0.124,0.124,0.134
equipamento12,39,3816,853.6191,1247.665,41.9996,0.194,0.156,0.197
equipamento12,40,1371,853.6523,1247.9029,42.0228,0.171,0.1541,0.196
equipamento12,41,5259,852.7577,1250.0854,49.6256,0.1981,0.196,0.213
equipamento12,42,2941,852.757,1250.0959,49.81,0.161,0.1591,0.11
equipamento12,43,36155,852.3023,1250.5162,48.8821,0.643,0.551,0.656
